time,open,high,low,close,volume
1672693200,4780,4895.07,4777.91,4848.69,1194182
1672779600,4848.69,4849.69,4759.08,4791.41,925268
1672866000,4791.41,4807.1,4774.13,4802.87,1134411
1672952400,4802.87,4806.15,4755.14,4804.09,1715198
1673038800,4804.09,4898.04,4797.66,4822.0,1442119
1673298000,4822.0,4894.77,4793.07,4888.36,1353782
1673384400,4888.36,4934.2,4865.89,4901.07,1551388
1673470800,4901.07,4915.47,4841.24,4843.7,1788187
1673557200,4843.7,4891.06,4842.05,4856.19,1580785
1673643600,4856.19,4927.87,4843.31,4892.78,1299988
1673902800,4892.78,5003.42,4871.71,5000.35,1747750
1673989200,5000.35,5051.53,4954.15,4985.9,1337121
1674075600,4985.9,5069.58,4971.49,5026.28,2002728
1674162000,5026.28,5150.3,4982.06,5106.4,1482294
1674248400,5106.4,5153.78,5096.17,5148.33,1104465
1674507600,5148.33,5220.79,5133.52,5182.59,926604
1674594000,5182.59,5208.64,5081.55,5140.36,1463249
1674680400,5140.36,5144.81,5077.15,5085.36,1506342
1674766800,5085.36,5184.71,5040.59,5170.35,1443434
1674853200,5170.35,5183.28,5047.83,5144.11,1484044
1675112400,5144.11,5196.22,5128.34,5154.2,1276302
1675198800,5154.2,5161.46,4983.41,5015.81,1291761
1675285200,5015.81,5057.22,5005.0,5008.41,1488605
1675371600,5008.41,5091.01,4967.42,5030.84,1069165
1675458000,5030.84,5093.75,4998.42,5056.15,1341484
1675717200,5056.15,5186.37,5035.99,5162.6,1386275
1675803600,5162.6,5163.76,5078.96,5098.24,1788755
1675890000,5098.24,5109.5,4995.24,5023.16,1212516
1675976400,5023.16,5067.68,5003.76,5063.46,1975629
1676062800,5063.46,5174.93,5045.51,5128.5,795492
1676322000,5128.5,5193.46,5119.37,5125.92,1352323
1676408400,5125.92,5137.16,5125.02,5136.55,1197085
1676494800,5136.55,5229.2,5129.36,5198.7,1625894
1676581200,5198.7,5273.07,5185.22,5237.39,1778040
1676667600,5237.39,5274.36,5206.2,5223.28,1907663
1676926800,5223.28,5285.6,5203.72,5280.5,1623071
1677013200,5280.5,5426.25,5256.67,5378.18,1482597
1677099600,5378.18,5418.48,5286.79,5293.37,1509906
1677186000,5293.37,5395.37,5264.2,5350.6,2027910
1677272400,5350.6,5390.47,5301.9,5319.47,2571474
1677531600,5319.47,5382.02,5310.96,5341.41,2070245
1677618000,5341.41,5369.73,5260.4,5281.71,2009134
1677704400,5281.71,5339.09,5211.99,5328.4,1336436
1677790800,5328.4,5393.63,5258.65,5289.25,2379557
1677877200,5289.25,5325.44,5287.9,5287.97,1552198
1678136400,5287.97,5307.45,5250.24,5300.73,572045
1678222800,5300.73,5309.9,5206.17,5269.45,702915
1678309200,5269.45,5309.21,5227.77,5250.81,1756181
1678395600,5250.81,5325.74,5230.04,5275.6,1607466
1678482000,5275.6,5376.61,5263.9,5344.75,1951237
1678741200,5344.75,5408.36,5286.11,5291.5,1454945
1678827600,5291.5,5338.07,5230.68,5308.33,1443193
1678914000,5308.33,5328.88,5257.51,5287.93,821531
1679000400,5287.93,5350.97,5248.6,5337.61,1089320
1679086800,5337.61,5347.58,5163.34,5168.62,2140168
1679346000,5168.62,5210.16,5148.61,5199.54,1353119
1679432400,5199.54,5251.45,5181.72,5205.01,1177868
1679518800,5205.01,5229.05,5149.22,5180.53,1097130
1679605200,5180.53,5316.43,5151.98,5295.75,1880520
1679691600,5295.75,5315.9,5232.94,5309.87,1856068
1679950800,5309.87,5401.2,5283.68,5336.95,1965074
1680037200,5336.95,5383.12,5314.32,5349.41,1377531
1680123600,5349.41,5404.62,5314.19,5390.85,1173191
1680210000,5390.85,5468.45,5380.21,5450.39,2193248
1680296400,5450.39,5460.95,5442.83,5455.93,1346061
1680555600,5455.93,5601.04,5430.11,5550.61,1573675
1680642000,5550.61,5618.25,5534.02,5615.37,1660747
1680728400,5615.37,5683.15,5550.32,5621.99,2029460
1680814800,5621.99,5690.11,5479.28,5504.8,1319772
1680901200,5504.8,5546.16,5461.74,5504.42,1842017
1681160400,5504.42,5515.36,5474.2,5514.05,1463433
1681246800,5514.05,5536.74,5455.65,5460.68,1633006
1681333200,5460.68,5648.36,5443.49,5597.75,1463333
1681419600,5597.75,5667.6,5551.89,5617.4,1437120
1681506000,5617.4,5667.93,5581.44,5584.07,1998791
1681765200,5584.07,5610.01,5542.88,5568.9,1658897
1681851600,5568.9,5640.65,5538.42,5636.42,1031009
1681938000,5636.42,5708.62,5624.85,5695.02,1833714
1682024400,5695.02,5761.55,5621.89,5646.72,1289250
1682110800,5646.72,5687.04,5564.67,5608.5,1243581
1682370000,5608.5,5617.51,5607.93,5610.0,1654879
1682456400,5610.0,5614.49,5542.01,5588.67,1758369
1682542800,5588.67,5651.92,5489.06,5562.14,1533738
1682629200,5562.14,5640.1,5558.04,5604.14,1346116
1682715600,5604.14,5648.57,5586.58,5641.37,357355
1682974800,5641.37,5695.74,5606.33,5666.17,1799122
1683061200,5666.17,5727.98,5649.93,5712.73,1363122
1683147600,5712.73,5732.5,5679.87,5727.38,2290813
1683234000,5727.38,5852.5,5693.6,5774.12,942329
1683320400,5774.12,5796.29,5740.21,5760.53,1596317
1683579600,5760.53,5815.6,5740.84,5741.06,1645947
1683666000,5741.06,5869.98,5696.0,5853.96,1347842
1683752400,5853.96,5931.59,5826.11,5897.2,1721664
1683838800,5897.2,5906.3,5872.72,5897.65,1169547
1683925200,5897.65,5903.65,5864.85,5877.81,1672485
1684184400,5877.81,5935.76,5859.22,5914.37,1145684
1684270800,5914.37,5945.66,5842.24,5842.72,1548744
1684357200,5842.72,5850.88,5745.07,5769.35,1154272
1684443600,5769.35,5826.25,5727.31,5730.54,1966373
1684530000,5730.54,5734.12,5646.07,5687.07,1768658
1684789200,5687.07,5852.05,5678.52,5804.79,2069556
1684875600,5804.79,5833.86,5726.5,5829.43,1439847
1684962000,5829.43,5945.29,5804.76,5889.47,1268092
1685048400,5889.47,5960.18,5804.66,5846.16,1948936
1685134800,5846.16,5897.82,5789.12,5839.97,830890
1685394000,5839.97,5934.75,5826.89,5922.12,1771811
1685480400,5922.12,5990.25,5921.5,5940.4,1369261
1685566800,5940.4,5997.05,5871.29,5898.34,1892886
1685653200,5898.34,6007.75,5792.14,5953.07,1785341
1685739600,5953.07,6039.03,5943.53,5987.07,2378325
1685998800,5987.07,6028.64,5974.84,6023.15,741722
1686085200,6023.15,6075.21,5884.86,5969.08,1807534
1686171600,5969.08,6040.72,5955.44,6033.68,1097099
1686258000,6033.68,6095.5,5972.56,6064.95,2124265
1686344400,6064.95,6103.8,6031.88,6098.69,1257753
1686603600,6098.69,6164.22,6097.94,6141.29,2165595
1686690000,6141.29,6187.01,6133.55,6186.34,1530953
1686776400,6186.34,6226.35,6108.94,6122.99,1266048
1686862800,6122.99,6172.31,6098.18,6105.96,2025394
1686949200,6105.96,6167.75,6087.24,6106.61,796665
1687208400,6106.61,6199.49,6027.44,6191.02,1545425
1687294800,6191.02,6255.69,6166.21,6202.84,1718919
1687381200,6202.84,6347.88,6152.78,6300.44,1948252
1687467600,6300.44,6330.66,6121.93,6129.5,424627
1687554000,6129.5,6219.03,6098.14,6182.66,1347879
1687813200,6182.66,6183.39,6118.38,6120.01,1497081
1687899600,6120.01,6135.66,6038.83,6052.45,1880206
1687986000,6052.45,6134.0,5994.82,6074.5,1527945
1688072400,6074.5,6093.34,6011.14,6043.3,1507854
1688158800,6043.3,6090.96,5910.06,5932.47,1079909
1688418000,5932.47,6009.63,5912.12,6006.03,1146372
1688504400,6006.03,6123.42,5992.39,6000.63,1729804
1688590800,6000.63,6034.0,5940.55,5942.64,1525957
1688677200,5942.64,5969.14,5827.01,5891.0,1945810
1688763600,5891.0,5923.0,5750.24,5801.23,1102168
1689022800,5801.23,5804.14,5662.32,5696.89,1053345
1689109200,5696.89,5724.86,5617.7,5654.08,1088532
1689195600,5654.08,5781.01,5617.83,5755.48,937971
1689282000,5755.48,5838.88,5738.05,5791.08,1754338
1689368400,5791.08,5866.18,5737.45,5758.44,1436945
1689627600,5758.44,5834.1,5747.1,5795.91,1525021
1689714000,5795.91,5799.99,5660.82,5691.93,1675135
1689800400,5691.93,5698.18,5595.54,5686.16,1456497
1689886800,5686.16,5721.58,5645.03,5664.12,994482
1689973200,5664.12,5700.83,5641.79,5676.11,1292096
1690232400,5676.11,5814.74,5640.59,5782.13,1444324
1690318800,5782.13,5786.64,5652.94,5679.65,2007468
1690405200,5679.65,5746.7,5648.31,5654.65,2044448
1690491600,5654.65,5712.4,5623.75,5664.73,2124039
1690578000,5664.73,5728.18,5648.06,5703.17,2514928
1690837200,5703.17,5773.03,5593.06,5671.81,1663461
1690923600,5671.81,5694.54,5576.58,5633.85,1781586
1691010000,5633.85,5667.43,5618.12,5643.85,1328841
1691096400,5643.85,5718.12,5592.46,5711.24,1164861
1691182800,5711.24,5729.43,5653.76,5673.93,1463658
1691442000,5673.93,5784.9,5633.77,5739.07,2011291
1691528400,5739.07,5806.47,5732.71,5746.22,1165124
1691614800,5746.22,5821.11,5728.83,5797.26,1508807
1691701200,5797.26,5818.67,5731.65,5806.75,1017802
1691787600,5806.75,5821.42,5786.65,5811.45,795855
1692046800,5811.45,5910.48,5771.3,5898.49,2137882
1692133200,5898.49,6014.06,5865.99,5973.15,1727629
1692219600,5973.15,5974.35,5896.49,5910.35,1753265
1692306000,5910.35,5981.98,5886.76,5942.45,1367113
1692392400,5942.45,5976.71,5859.47,5930.85,1013495
1692651600,5930.85,5952.52,5908.15,5952.09,745088
1692738000,5952.09,5987.08,5849.29,5926.04,1066878
1692824400,5926.04,5973.41,5817.46,5818.65,1270413
1692910800,5818.65,5832.88,5783.9,5829.4,1967720
1692997200,5829.4,5902.56,5800.03,5889.22,1825063
1693256400,5889.22,6038.2,5875.79,5965.89,1531327
